ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown truck that turns left in camera 3 from 54 second to 236 second, and also appear at camera 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver truck that turns right in camera 1 from 33 second to 134 second, and also appear at camera 2, 5, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow jeep that stop at traffic light in camera 5 from 27 second to 160 second, and also appear at camera 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple truck that turns left in camera 1 from 22 second to 147 second, and also appear at camera 3, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey minivan that turns right in camera 3 from 24 second to 219 second, and also appear at camera 2, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple minivan that turns right in camera 3 from 17 second to 167 second, and also appear at camera 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey coupe that turns right in camera 4 from 50 second to 167 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan wagon that turns left in camera 1 from 29 second to 219 second, and also appear at camera 3, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the green wagon that turns right in camera 3 from 18 second to 205 second, and also appear at camera 1, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold truck that turns right in camera 4 from 48 second to 131 second, and also appear at camera 3, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white wagon that stop at traffic light in camera 5 from 33 second to 158 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey wagon that goes straight in camera 2 from 43 second to 174 second, and also appear at camera 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue sedan that turns right in camera 4 from 17 second to 153 second, and also appear at camera 3, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey van that turns left in camera 2 from 18 second to 135 second, and also appear at camera 1, 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray jeep that turns left in camera 4 from 26 second to 134 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white van that turns left in camera 4 from 22 second to 191 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown minivan that goes straight in camera 5 from 16 second to 237 second, and also appear at camera 1, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver coupe that goes straight in camera 3 from 37 second to 215 second, and also appear at camera 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white pickup that stop at traffic light in camera 3 from 37 second to 179 second, and also appear at camera 5, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan sedan that turns right in camera 2 from 35 second to 173 second, and also appear at camera 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the white wagon that turns right in camera 7 from 18 second to 172 second, and also appear at camera 9, 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue wagon that stop at traffic light in camera 9 from 37 second to 212 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold wagon that turns left in camera 7 from 33 second to 188 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green minivan that goes straight in camera 8 from 22 second to 212 second, and also appear at camera 7, 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold truck that turns right in camera 7 from 44 second to 189 second, and also appear at camera 6, 9, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue jeep that turns right in camera 8 from 29 second to 160 second, and also appear at camera 9, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gray wagon that stop at traffic light in camera 9 from 25 second to 171 second, and also appear at camera 8, 6, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green pickup that goes straight in camera 9 from 42 second to 135 second, and also appear at camera 8, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gray coupe that goes straight in camera 8 from 23 second to 209 second, and also appear at camera 6, 9, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the red sedan that goes straight in camera 8 from 28 second to 195 second, and also appear at camera 9, 6, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the maroon jeep that turns right in camera 7 from 24 second to 202 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the red minivan that goes straight in camera 8 from 17 second to 153 second, and also appear at camera 9, 7, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold pickup that turns right in camera 6 from 46 second to 141 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the black pickup that turns left in camera 7 from 53 second to 226 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gray wagon that turns left in camera 9 from 31 second to 169 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the yellow jeep that goes straight in camera 9 from 59 second to 153 second, and also appear at camera 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the red sedan that turns left in camera 7 from 22 second to 222 second, and also appear at camera 8, 9, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the brown van that turns left in camera 7 from 34 second to 190 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the purple hatchback that turns left in camera 9 from 60 second to 146 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the white pickup that goes straight in camera 9 from 30 second to 236 second, and also appear at camera 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the green sedan that goes straight in camera 10 from 26 second to 137 second, and also appear at camera 15, 12, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the maroon coupe that turns left in camera 15 from 16 second to 182 second, and also appear at camera 14, 11, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple coupe that turns left in camera 10 from 18 second to 200 second, and also appear at camera 11, 13, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the blue truck that stop at traffic light in camera 12 from 15 second to 166 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the red sedan that turns right in camera 15 from 22 second to 192 second, and also appear at camera 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white SUV that turns right in camera 13 from 50 second to 168 second, and also appear at camera 11, 12",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple wagon that stop at traffic light in camera 15 from 18 second to 130 second, and also appear at camera 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the silver truck that turns right in camera 13 from 60 second to 229 second, and also appear at camera 10, 12",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white wagon that stop at traffic light in camera 12 from 57 second to 157 second, and also appear at camera 13, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold wagon that turns left in camera 10 from 36 second to 226 second, and also appear at camera 11, 14, 13",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple pickup that turns right in camera 10 from 23 second to 228 second, and also appear at camera 12, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white coupe that stop at traffic light in camera 13 from 59 second to 186 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gray coupe that goes straight in camera 15 from 33 second to 166 second, and also appear at camera 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the black jeep that stop at traffic light in camera 15 from 52 second to 187 second, and also appear at camera 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the green hatchback that goes straight in camera 12 from 27 second to 216 second, and also appear at camera 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the tan hatchback that stop at traffic light in camera 14 from 20 second to 156 second, and also appear at camera 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the grey jeep that stop at traffic light in camera 13 from 32 second to 234 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the brown hatchback that stop at traffic light in camera 13 from 59 second to 209 second, and also appear at camera 15, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the red minivan that turns right in camera 15 from 34 second to 240 second, and also appear at camera 10, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold wagon that stop at traffic light in camera 11 from 56 second to 239 second, and also appear at camera 15, 13, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan coupe that turns left in camera 31 from 50 second to 123 second, and also appear at camera 28",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue wagon that turns left in camera 20 from 54 second to 221 second, and also appear at camera 18, 38, 28",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the maroon coupe that stop at traffic light in camera 31 from 60 second to 222 second, and also appear at camera 17, 23, 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan jeep that turns left in camera 23 from 57 second to 142 second, and also appear at camera 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the brown truck that goes straight in camera 40 from 41 second to 174 second, and also appear at camera 21, 35, 37",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the yellow minivan that turns left in camera 35 from 50 second to 216 second, and also appear at camera 18, 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan wagon that goes straight in camera 39 from 17 second to 205 second, and also appear at camera 20, 25",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey sedan that turns right in camera 17 from 29 second to 172 second, and also appear at camera 31, 34",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue truck that goes straight in camera 24 from 35 second to 228 second, and also appear at camera 26",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the gold sedan that goes straight in camera 28 from 23 second to 146 second, and also appear at camera 21",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the white SUV that turns left in camera 28 from 26 second to 216 second, and also appear at camera 18, 35",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey minivan that turns right in camera 19 from 21 second to 221 second, and also appear at camera 31, 16, 26",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the yellow SUV that turns left in camera 16 from 40 second to 222 second, and also appear at camera 20, 24",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the purple van that turns right in camera 35 from 30 second to 217 second, and also appear at camera 22, 27, 17",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the maroon minivan that stop at traffic light in camera 27 from 20 second to 133 second, and also appear at camera 32, 26, 33",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the gray sedan that goes straight in camera 32 from 27 second to 150 second, and also appear at camera 24, 26, 35",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey minivan that stop at traffic light in camera 37 from 18 second to 181 second, and also appear at camera 31",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the purple truck that goes straight in camera 40 from 32 second to 239 second, and also appear at camera 26, 38",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the maroon sedan that stop at traffic light in camera 22 from 33 second to 189 second, and also appear at camera 21, 34",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey van that turns right in camera 21 from 16 second to 225 second, and also appear at camera 16, 34, 30",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the silver pickup that turns left in camera 21 from 37 second to 164 second, and also appear at camera 18, 19, 17",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the green van that stop at traffic light in camera 25 from 20 second to 138 second, and also appear at camera 23",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the blue sedan that goes straight in camera 27 from 21 second to 131 second, and also appear at camera 17",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the red wagon that stop at traffic light in camera 18 from 15 second to 166 second, and also appear at camera 36, 27, 16",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the grey pickup that turns left in camera 16 from 57 second to 129 second, and also appear at camera 34, 18, 35",,,,,,,,,,,,,,,,,,,,,,,,
